가나, 62, 191
자자, 72, 165
가라, 95, 147
다사, 87, 178
차카, 69, 146
자라, 88, 148
하하, 61, 196
나파, 63, 156
사바, 45, 151
하파, 69, 194
바카, 82, 141
사하, 67, 167
가라, 96, 156
사바, 86, 160
나가, 98, 151
타타, 83, 190
가마, 69, 163
나자, 97, 182
타파, 69, 163
바다, 50, 189
가사, 68, 174
아라, 95, 176
타라, 61, 183
가자, 89, 163
차나, 46, 172
바파, 54, 191
사라, 52, 180
나차, 73, 160
가하, 49, 169
차사, 51, 155
차나, 45, 179
카파, 83, 198
바차, 86, 196
카하, 45, 157
카마, 96, 179
나카, 60, 185
타자, 96, 194
자라, 89, 150
카나, 50, 147
자사, 66, 141
하나, 65, 183
바가, 74, 143
타타, 76, 173
자차, 65, 171
타차, 73, 145
나파, 94, 157
다하, 63, 182
파마, 93, 141
다다, 96, 188
타차, 53, 167
카마, 52, 168
라사, 58, 144
가파, 43, 166
아나, 47, 152
다사, 77, 190
파차, 77, 161
마나, 95, 144
타타, 54, 155
바바, 95, 185
타아, 47, 182
파자, 47, 176
차라, 86, 165
마파, 96, 189
파파, 59, 198
다파, 46, 149
아사, 41, 155
바아, 48, 181
타가, 99, 183
파카, 93, 180
마카, 73, 180
자바, 52, 143
마다, 44, 186
차라, 68, 172
아카, 78, 174
가마, 97, 156
자바, 82, 175
나자, 49, 172
사카, 92, 145
다마, 82, 187
마타, 81, 188
자나, 61, 157
사차, 61, 151
아바, 81, 188
가가, 48, 179
차하, 65, 143
나바, 58, 147
나사, 93, 143
자타, 70, 173
나타, 47, 189
카나, 95, 185
바파, 70, 151
나하, 53, 175
나사, 78, 150
바파, 91, 147
다다, 82, 153
차가, 66, 152
아마, 89, 166
차하, 54, 163
타타, 41, 183
아라, 88, 171
바나, 58, 197
나마, 70, 155
파차, 71, 173
사파, 49, 183
타나, 82, 153
아다, 55, 175
가카, 44, 187
하라, 85, 144
라차, 57, 190
다카, 48, 170
마파, 91, 166
사카, 63, 140
라라, 45, 164
가자, 79, 193
가아, 45, 170
하타, 96, 160
나가, 50, 148
가카, 74, 161
바타, 61, 167
타아, 94, 152
차파, 93, 160
타하, 59, 165
파마, 70, 190
사자, 76, 170
카차, 67, 152
카라, 64, 157
가다, 77, 187
자타, 89, 170
카차, 46, 185
카카, 40, 188
다사, 95, 174
자마, 53, 164
사사, 68, 184
차타, 89, 148
바다, 67, 152
바다, 75, 144
아나, 86, 191
차사, 69, 173
나라, 51, 188
하차, 44, 152
아차, 54, 161
차자, 44, 185
나다, 83, 146
나나, 52, 152
아하, 94, 174
바파, 48, 161
아다, 95, 157
타타, 79, 192
하마, 78, 147
차나, 49, 189
하하, 87, 146
타마, 67, 188
라마, 44, 156
아하, 47, 199
바라, 80, 156
다자, 40, 199
타나, 76, 156
카사, 42, 158
자차, 77, 191
아하, 90, 159
바라, 91, 189
마다, 86, 196
나카, 88, 196
다타, 81, 174
라자, 57, 192
아마, 48, 161
나다, 95, 151
하마, 63, 168
하차, 80, 168
나마, 45, 185
카자, 45, 161
사타, 86, 167
사아, 88, 167
사다, 77, 172
아하, 79, 145
가사, 47, 197
가나, 73, 155
사아, 67, 168
자다, 55, 174
바마, 57, 182
라나, 71, 171
파아, 90, 173
나하, 92, 190
자카, 75, 197
마바, 42, 186
자아, 64, 173
나라, 59, 141
차아, 45, 158
파바, 43, 170
바하, 99, 164
마차, 64, 194
바라, 74, 179
다나, 80, 193
가다, 77, 147
가하, 82, 150
다카, 51, 141
바마, 49, 170
다하, 97, 166
가하, 76, 177
타나, 58, 173
바다, 97, 157
아마, 61, 177
사바, 81, 144
나파, 73, 178
다자, 96, 198
사파, 95, 180
마마, 86, 194
가나, 60, 149
사나, 97, 150
나가, 53, 152
마라, 46, 193
사나, 49, 147
타나, 98, 168
사차, 68, 181
라가, 52, 182
가나, 44, 156
가나, 69, 193
차차, 94, 186
마바, 50, 162
다아, 65, 162
사사, 84, 198
타나, 86, 167
하타, 47, 151
차나, 53, 176
타카, 85, 152
파차, 64, 157
나라, 92, 162
하하, 58, 191
하마, 92, 192
마가, 42, 171
자나, 68, 158
파가, 85, 147
하다, 81, 172
바다, 58, 178
라사, 67, 148
라가, 85, 158
카사, 50, 190
하라, 97, 144
파파, 42, 183
파하, 89, 149
카파, 91, 172
라카, 82, 198
가사, 61, 157
다아, 95, 156
타차, 51, 153
바다, 71, 144
카차, 97, 178
나차, 83, 193
라차, 71, 168
타차, 56, 154
파나, 56, 158
자타, 73, 162
아마, 43, 194
하자, 82, 164
파타, 78, 164
바카, 44, 146
사사, 89, 147
가자, 83, 175
사바, 60, 156
바자, 89, 172
카가, 73, 198
카자, 92, 148
가파, 45, 143
가라, 52, 151
가자, 54, 182
파파, 77, 155
사하, 74, 147
파가, 62, 176
마아, 45, 158
사아, 73, 179
라다, 87, 177
자다, 82, 193
아파, 82, 145
사사, 78, 166
하사, 81, 191
바라, 71, 161
가아, 51, 170
나나, 98, 168
가타, 50, 154
차자, 40, 154
나자, 84, 199
파라, 58, 170
차나, 61, 191
파가, 80, 157
마차, 94, 188
하타, 71, 145
가다, 87, 149
마하, 87, 178
카사, 43, 166
바차, 94, 192
카아, 55, 153
차자, 60, 145
사카, 62, 159
하차, 49, 199
카아, 80, 158
하카, 69, 146
나차, 78, 194
나하, 94, 191
차카, 44, 188
사타, 46, 192
가라, 72, 154
가차, 66, 190
파타, 59, 153
타라, 85, 196
나아, 73, 150
가나, 78, 141
